code,name,type,manager,company
001297,平安大华智慧中国混合,混合型,神爱前,平安大华基金
001298,金鹰民族新兴混合,混合型,王喆,金鹰基金
001299,兴业添利债券,债券型,杨逸君,兴业基金
001300,大成睿景灵活配置混合A,混合型,李本刚,大成基金
001301,大成睿景灵活配置混合C,混合型,李本刚,大成基金
001302,前海开源金银珠宝混合A,混合型,谢屹,前海开源基金
001303,银华稳利灵活配置混合A,混合型,孙慧,银华基金
001304,建信鑫安回报灵活配置混合,混合型,牛兴华,建信基金
001305,九泰天富改革混合,混合型,吴祖尧,九泰基金
001306,中欧永裕混合A,混合型,魏博,中欧基金
001307,中欧永裕混合C,混合型,魏博,中欧基金
001308,博时外服货币,货币型,魏桢,博时基金
001309,东方红睿逸定期开放混合,混合型,林鹏,上海东方证券资产管理
001310,华泰柏瑞行业竞争优势混合,混合型,吕慧建,华泰柏瑞基金
001311,华安新回报灵活配置混合,混合型,朱才敏,华安基金
001312,华安新优选灵活配置混合A,混合型,郑可成,华安基金
001313,上投摩根智慧互联股票,股票型,郭晨,上投摩根基金
001314,易方达新益混合I,混合型,林森,易方达基金
001315,易方达新益混合E,混合型,林森,易方达基金
001316,安信稳健增值混合A,混合型,张翼飞,安信基金
001318,东方新策略灵活配置混合A,混合型,朱晓栋,东方基金
001319,农银信息传媒股票,股票型,张燕,农银汇理基金
001320,工银丰盈回报灵活配置混合,混合型,王君正,工银瑞信基金
001321,兴业聚优灵活配置混合,混合型,腊博,兴业基金
001322,东吴新趋势,混合型,戴斌,东吴基金
001323,东吴移动互联A,混合型,刘元海,东吴基金
001324,华宝新价值混合,混合型,李栋梁,华宝基金
001325,鹏华弘和混合A,混合型,刘方正,鹏华基金
001326,鹏华弘和混合C,混合型,刘方正,鹏华基金
001327,鹏华弘华混合A,混合型,刘方正,鹏华基金
001328,鹏华弘华混合C,混合型,刘方正,鹏华基金
001329,鹏华弘实混合A,混合型,李韵怡,鹏华基金
001330,鹏华弘实混合C,混合型,李韵怡,鹏华基金
001331,鹏华弘信混合A,混合型,刘方正,鹏华基金
001332,鹏华弘信混合C,混合型,刘方正,鹏华基金
001333,大成景鹏灵活配置混合A,混合型,黄万青,大成基金
001334,南方利鑫A,混合型,孙鲁闽,南方基金
001335,南方利众A,混合型,吴剑毅,南方基金
001336,鹏华弘益混合A,混合型,李韵怡,鹏华基金
001337,鹏华弘益混合C,混合型,李韵怡,鹏华基金
001338,安信稳健增值混合C,混合型,张翼飞,安信基金
001339,兴银鼎新灵活配置混合,混合型,方军平,兴银基金
001340,华泰柏瑞惠利灵活混合A,混合型,杨景涵,华泰柏瑞基金
001341,华泰柏瑞惠利灵活混合C,混合型,杨景涵,华泰柏瑞基金
001342,易方达新享混合A,混合型,张清华,易方达基金
001343,易方达新享混合C,混合型,张清华,易方达基金
001345,富国新收益灵活配置混合A,混合型,钟智伦,富国基金
001347,富国新收益灵活配置混合C,混合型,钟智伦,富国基金
001348,大摩新机遇混合,混合型,缪东航,摩根士丹利华鑫基金
001349,富国改革动力混合,混合型,汪鸣,富国基金
001351,诺安中证500ETF联接,联接基金,梅律吾,诺安基金
001352,民生加银新战略混合,混合型,杨林耘,民生加银基金
001355,广发聚泰混合A,混合型,任爽,广发基金
001356,广发聚泰混合C,混合型,任爽,广发基金
